,df_index,region,income,family_member,gender,year_born,education_level,marriage,religion,occupation,company_size,reason_none_worker,age
102,1681,Seoul,8911.0,4,male,1975,8,1,non-religious,231,10,employed,43
103,1710,Seoul,1833.0,2,male,1932,4,1,religious,0,0,no_intention_to_work,86
104,1721,Kyeong-gi,23900.0,4,male,1959,7,1,religious,274,1,employed,59
105,1735,Seoul,850.0,1,male,1952,3,3,religious,0,0,no_intention_to_work,66
106,1753,Seoul,1776.0,3,male,1952,5,1,religious,0,0,no_intention_to_work,66
107,1800,Seoul,7354.0,4,male,1967,5,1,non-religious,873,1,employed,51
108,1829,Seoul,4740.0,3,male,1973,8,1,non-religious,531,1,employed,45
109,1845,Seoul,8503.0,4,male,1973,6,1,non-religious,312,5,employed,45
110,1858,Seoul,2975.0,3,male,1964,7,1,non-religious,330,1,employed,54
111,1872,Seoul,2288.0,2,male,1947,6,1,religious,0,0,no_intention_to_work,71
112,1891,Seoul,7677.0,3,male,1976,6,1,religious,941,1,employed,42
113,1905,Seoul,801.0,1,female,1951,3,2,religious,0,0,no_intention_to_work,67
114,1919,Seoul,669.0,1,female,1933,2,2,religious,0,0,no_intention_to_work,85
115,1933,Kyeong-gi,5613.0,4,male,1976,7,1,non-religious,245,8,employed,42
116,1947,Seoul,2387.0,2,female,1936,4,2,religious,0,0,no_intention_to_work,82
117,1961,Seoul,4721.0,3,male,1958,5,1,religious,873,1,employed,60
118,1975,Jeju,7983.0,5,male,1977,6,1,non-religious,441,7,employed,41
119,2008,Kyeong-gi,7152.0,5,male,1979,6,1,non-religious,222,2,employed,39
120,2031,Seoul,7418.0,3,male,1944,4,1,religious,873,1,employed,74
121,2052,Kyeong-gi,4081.0,2,male,1944,5,1,religious,0,0,giving_up_economic_activities,74
122,2080,Seoul,3124.0,2,male,1946,5,1,religious,942,3,employed,72
123,2094,Seoul,729.0,1,female,1936,5,2,non-religious,0,0,no_intention_to_work,82
124,2108,Seoul,3010.0,2,male,1935,7,1,non-religious,0,0,no_intention_to_work,83
125,2123,Kyeong-gi,7761.0,4,male,1977,7,1,religious,510,3,employed,41
126,2150,Seoul,590.0,1,female,1930,3,2,non-religious,0,0,no_intention_to_work,88
127,2164,Seoul,10468.0,4,male,1965,5,1,non-religious,762,1,employed,53
128,2185,Seoul,1318.0,1,female,1940,4,2,non-religious,0,0,no_intention_to_work,78
129,2199,Seoul,1185.0,1,female,1943,2,2,religious,999,10,employed,75
130,2220,Seoul,1327.0,2,male,1938,4,1,religious,941,1,employed,80
131,2233,Seoul,4941.0,3,male,1954,7,1,non-religious,873,1,employed,64
132,2251,Seoul,1776.0,1,female,1937,3,2,religious,0,0,giving_up_economic_activities,81
133,2265,Seoul,1620.0,1,female,1962,4,2,religious,952,3,employed,56
134,2279,Seoul,4034.0,2,female,1941,3,2,religious,710,2,employed,77
135,2320,Seoul,1943.0,1,female,1953,3,2,religious,952,1,employed,65
136,2339,Seoul,10894.0,3,male,1974,7,1,non-religious,222,7,employed,44
137,2359,Jeju,1427.0,1,female,1954,3,2,religious,952,1,employed,64
138,2375,Seoul,1971.0,2,male,1944,3,1,religious,0,0,no_intention_to_work,74
139,2389,Seoul,1340.0,2,male,1952,3,1,non-religious,0,0,giving_up_economic_activities,66
140,2399,Chong-nam,5382.0,4,male,1983,6,1,non-religious,761,4,employed,35
141,2434,Seoul,3350.0,1,female,1948,5,2,non-religious,531,1,employed,70
142,2454,Seoul,1029.0,1,female,1942,5,2,religious,0,0,no_intention_to_work,76
143,2468,Seoul,11624.0,4,male,1959,5,1,non-religious,873,1,employed,59
144,2482,Seoul,1973.0,2,male,1940,3,1,religious,942,2,employed,78
145,2508,Seoul,1407.0,2,male,1932,4,1,non-religious,0,0,no_intention_to_work,86
146,2523,Seoul,6351.0,3,male,1960,5,1,religious,942,5,employed,58
147,2537,Gang-won & Chung-buk,4956.0,4,male,1963,5,1,religious,873,1,employed,55
148,2551,Seoul,16444.0,6,male,1977,7,1,religious,411,10,employed,41
149,2561,Jeju,3601.0,5,male,1980,6,1,non-religious,730,1,employed,38
150,2576,Seoul,9570.0,3,male,1948,5,1,non-religious,782,3,employed,70
151,2591,Seoul,6180.0,3,male,1973,7,1,religious,231,8,employed,45
152,2608,Seoul,9244.0,3,male,1968,5,1,non-religious,721,1,employed,50
153,2636,Seoul,9766.0,4,male,1959,3,1,non-religious,910,3,employed,59
154,2663,Kyeong-gi,1802.0,2,male,1939,4,1,religious,0,0,giving_up_economic_activities,79
155,2681,Seoul,4318.0,2,male,1945,7,1,non-religious,0,0,giving_up_economic_activities,73
156,2725,Seoul,10108.0,4,male,1973,7,1,non-religious,259,1,employed,45
157,2736,Seoul,1968.0,2,male,1936,5,1,religious,0,0,giving_up_economic_activities,82
158,2771,Seoul,5262.0,3,female,1957,4,3,non-religious,722,2,employed,61
159,2798,Seoul,3537.0,2,male,1955,8,1,religious,251,3,employed,63
160,2803,Kyoung-nam,3713.0,1,male,1989,7,5,religious,312,7,employed,29
161,2817,Seoul,1714.0,1,male,1957,4,3,non-religious,532,1,employed,61
162,2818,Seoul,3432.0,1,male,1989,5,5,non-religious,771,9,employed,29
163,2832,Seoul,2898.0,1,male,1952,4,3,non-religious,942,4,employed,66
164,2851,Seoul,5483.0,3,male,1960,4,1,religious,910,3,employed,58
165,2854,Kyeong-gi,6777.0,2,male,1984,7,1,non-religious,441,3,employed,34
166,2885,Seoul,4471.0,2,female,1944,5,2,religious,0,0,no_intention_to_work,74
167,2897,Kyeong-gi,19944.0,2,male,1973,8,1,non-religious,235,7,employed,45
168,2911,Seoul,2732.0,2,male,1950,5,1,religious,873,1,employed,68
169,2914,Seoul,12975.0,3,male,1982,8,1,non-religious,252,7,employed,36
170,2928,Seoul,1187.0,1,female,1937,3,3,religious,0,0,no_intention_to_work,81
171,2955,Seoul,771.0,1,male,1938,4,2,non-religious,0,0,no_intention_to_work,80
172,2969,Seoul,11694.0,3,female,1963,6,3,religious,442,5,employed,55
173,2988,Seoul,834.0,1,male,1954,3,2,religious,0,0,no_intention_to_work,64
174,2991,Kyeong-gi,4419.0,3,male,1994,7,1,religious,743,3,employed,24
175,3005,Seoul,10149.0,5,male,1965,5,1,religious,783,1,employed,53
176,3019,Seoul,7065.0,4,male,1970,5,1,non-religious,873,3,employed,48
177,3033,Seoul,923.0,1,female,1944,5,3,religious,941,1,employed,74
178,3047,Seoul,3927.0,2,female,1950,3,3,religious,0,0,employed,68
179,3061,Seoul,3991.0,1,female,1936,7,2,religious,0,0,no_intention_to_work,82
180,3075,Kyeong-gi,3736.0,3,male,1957,5,1,non-religious,0,0,no_intention_to_work,61
181,3086,Kyeong-gi,8568.0,4,male,1975,7,1,non-religious,133,5,employed,43
182,3101,Seoul,8698.0,4,male,1962,5,1,non-religious,891,1,employed,56
183,3115,Seoul,5293.0,2,male,1952,5,1,non-religious,992,10,employed,66
184,3119,Seoul,12789.0,3,male,1981,6,1,non-religious,246,10,employed,37
185,3122,Seoul,12979.0,3,male,1982,7,1,non-religious,312,8,employed,36
186,3141,Seoul,871.0,1,male,1952,2,3,non-religious,0,0,no_intention_to_work,66
187,3155,Seoul,1377.0,1,male,1929,3,2,religious,0,0,no_intention_to_work,89
188,3180,Seoul,1907.0,2,male,1936,5,1,non-religious,0,0,no_intention_to_work,82
189,3194,Seoul,862.0,1,male,1960,5,5,non-religious,0,0,no_intention_to_work,58
190,3208,Seoul,1955.0,4,male,1966,6,1,non-religious,823,1,employed,52
191,3225,Seoul,7530.0,2,male,1938,7,1,non-religious,0,0,no_intention_to_work,80
192,3247,Seoul,6062.0,2,male,1960,5,1,religious,875,1,employed,58
193,3264,Seoul,14121.0,3,male,1961,6,1,religious,159,1,employed,57
194,3279,Chong-nam,7532.0,6,male,1964,8,1,religious,248,1,employed,54
195,3290,Seoul,817.0,1,female,1942,4,3,religious,0,0,no_intention_to_work,76
196,3305,Kyeong-gi,3734.0,3,male,1974,5,1,non-religious,783,3,employed,44
197,3319,Seoul,5407.0,4,male,1940,7,1,religious,0,0,no_intention_to_work,78
198,3333,Seoul,6063.0,2,male,1955,5,1,religious,874,1,employed,63
199,3359,Seoul,3564.0,2,male,1961,4,1,religious,892,3,employed,57
200,3373,Seoul,3240.0,2,female,1943,5,1,religious,0,0,no_intention_to_work,75
201,3382,Kyeong-gi,5371.0,3,male,1979,8,1,non-religious,312,10,employed,39
202,3396,Kyeong-gi,5079.0,2,male,1945,8,1,religious,0,0,no_intention_to_work,73
203,3410,Seoul,1613.0,1,female,1946,3,2,non-religious,0,0,no_intention_to_work,72
204,3424,Seoul,3125.0,2,female,1947,5,4,religious,0,0,no_intention_to_work,71
205,3442,Seoul,2807.0,1,female,1935,5,2,religious,0,0,no_intention_to_work,83
206,3456,Seoul,14904.0,4,female,1950,7,2,non-religious,0,0,no_intention_to_work,68
207,3470,Kyeong-gi,7665.0,4,male,1953,5,1,religious,864,1,employed,65
208,3484,Seoul,5519.0,1,male,1973,7,5,religious,221,3,employed,45
209,3510,Seoul,10238.0,3,male,1970,5,1,religious,873,1,employed,48
210,3537,Seoul,4979.0,1,female,1943,4,2,religious,0,0,no_intention_to_work,75
211,3540,Seoul,7166.0,3,male,1979,7,1,religious,721,1,employed,39
212,3565,Kyong-buk,2247.0,2,male,1947,5,1,religious,611,1,employed,71
213,3568,Seoul,2776.0,1,female,1980,6,5,non-religious,285,2,employed,38
214,3582,Seoul,3637.0,2,male,1963,5,1,religious,799,1,employed,55
215,3596,Seoul,5005.0,2,male,1937,4,1,religious,0,0,no_intention_to_work,81
216,3610,Seoul,2097.0,2,male,1937,5,1,non-religious,0,0,no_intention_to_work,81
217,3625,Seoul,4213.0,2,male,1936,8,1,religious,0,0,no_intention_to_work,82
218,3655,Seoul,5116.0,4,male,1969,4,1,religious,799,3,employed,49
219,3669,Kyeong-gi,6825.0,4,male,1979,5,1,non-religious,221,3,employed,39
220,3683,Seoul,7098.0,2,female,1956,5,2,religious,441,1,employed,62
221,3699,Seoul,25306.0,2,male,1945,5,1,non-religious,141,1,employed,73
222,3715,Kyeong-gi,3269.0,1,female,1954,3,3,religious,521,1,employed,64
223,3732,Seoul,16093.0,3,male,1974,5,1,non-religious,521,1,employed,44
224,3746,Seoul,10152.0,5,male,1963,5,1,religious,791,1,employed,55
225,3764,Seoul,4933.0,2,male,1950,7,1,religious,0,0,no_intention_to_work,68
226,3778,Seoul,4367.0,2,female,1958,3,3,religious,0,0,employed,60
227,3797,Gang-won & Chung-buk,2353.0,2,male,1950,4,1,non-religious,259,2,employed,68
228,3806,Seoul,11741.0,5,male,1977,7,1,non-religious,139,9,employed,41
229,3813,Seoul,11377.0,5,male,1980,7,1,non-religious,313,10,employed,38
230,3834,Kyeong-gi,10523.0,2,male,1970,6,1,non-religious,312,9,employed,48
231,3848,Seoul,1480.0,1,female,1946,3,2,religious,930,2,employed,72
232,3913,Jeju,1082.0,2,female,1943,3,2,religious,0,0,no_intention_to_work,75
233,3927,Seoul,1494.0,3,male,1932,3,1,religious,0,0,no_intention_to_work,86
234,3941,Seoul,832.0,1,female,1930,2,2,non-religious,0,0,no_intention_to_work,88
235,3961,Gang-won & Chung-buk,7955.0,5,male,1978,6,1,non-religious,312,6,employed,40
236,3991,Kyeong-gi,13278.0,4,male,1969,7,1,non-religious,311,10,employed,49
237,4005,Seoul,1673.0,1,female,1943,3,3,non-religious,941,3,employed,75
238,4019,Seoul,9501.0,4,male,1969,7,1,non-religious,411,10,employed,49
239,4041,Seoul,7048.0,4,male,1975,6,1,non-religious,852,1,employed,43
240,4055,Seoul,1679.0,1,female,1939,3,2,religious,0,0,no_intention_to_work,79
241,4070,Seoul,1739.0,1,male,1969,6,5,non-religious,0,0,no_intention_to_work,49
242,4084,Seoul,1393.0,2,male,1956,7,1,non-religious,0,0,no_intention_to_work,62
243,4099,Kyoung-nam,1223.0,1,female,1963,7,5,religious,532,6,employed,55
244,4113,Seoul,2687.0,2,male,1948,4,1,non-religious,0,0,nursing,70
245,4121,Seoul,6381.0,4,male,1979,6,1,non-religious,873,10,employed,39
246,4135,Seoul,2905.0,2,male,1957,5,1,religious,783,3,employed,61
247,4149,Seoul,10401.0,3,male,1968,7,1,non-religious,223,10,employed,50
248,4168,Seoul,7023.0,3,male,1958,5,1,religious,783,1,employed,60
249,4185,Seoul,5938.0,3,female,1962,6,2,religious,391,10,employed,56
250,4203,Seoul,2790.0,1,female,1950,7,5,non-religious,0,0,no_intention_to_work,68
251,4217,Seoul,2600.0,3,male,1933,5,1,religious,0,0,no_intention_to_work,85
252,4231,Seoul,1410.0,1,female,1940,3,2,religious,0,0,no_intention_to_work,78
253,4245,Seoul,967.0,1,male,1942,3,3,religious,941,1,employed,76
254,4259,Seoul,12796.0,4,male,1975,5,1,non-religious,510,1,employed,43
255,4287,Seoul,6883.0,2,male,1935,5,1,religious,0,0,no_intention_to_work,83
256,4302,Seoul,4458.0,4,male,1973,5,1,religious,873,1,employed,45
257,4316,Seoul,1233.0,1,male,1926,7,2,non-religious,0,0,no_intention_to_work,92
258,4343,Seoul,4539.0,3,male,1949,4,1,religious,0,0,no_intention_to_work,69
259,4358,Kyeong-gi,20106.0,8,male,1954,5,1,religious,922,1,employed,64
260,4376,Seoul,1743.0,1,male,1968,5,5,non-religious,783,2,employed,50
261,4381,Seoul,1348.0,2,female,1934,3,2,religious,0,0,no_intention_to_work,84
262,4403,Seoul,2429.0,3,male,1970,4,5,non-religious,752,1,employed,48
263,4410,Seoul,5218.0,5,male,1975,5,1,religious,0,0,giving_up_economic_activities,43
264,4429,Seoul,5469.0,1,female,1971,8,5,non-religious,133,3,employed,47
265,4445,Seoul,5358.0,2,male,1946,3,1,religious,0,0,no_intention_to_work,72
266,4457,Seoul,12310.0,4,male,1978,7,1,religious,311,10,employed,40
267,4471,Kyeong-gi,5519.0,2,male,1945,3,1,religious,0,0,no_intention_to_work,73
268,4498,Seoul,4080.0,3,female,1970,5,4,non-religious,521,1,employed,48
269,4512,Kyeong-gi,3849.0,2,female,1933,2,2,religious,0,0,no_intention_to_work,85
270,4526,Seoul,623.0,2,male,1947,7,1,non-religious,0,0,giving_up_economic_activities,71
271,4540,Seoul,6219.0,2,male,1961,7,5,non-religious,0,0,giving_up_economic_activities,57
272,4545,Seoul,2372.0,1,male,1993,5,5,non-religious,274,2,employed,25
273,4547,Seoul,2437.0,1,female,1995,5,5,non-religious,313,3,employed,23
274,4569,Seoul,1855.0,3,female,1978,6,5,non-religious,0,0,prepare_to_apply_job,40
275,4583,Seoul,5036.0,2,male,1983,5,5,religious,159,1,employed,35
276,4598,Seoul,5304.0,2,male,1945,4,1,religious,910,2,employed,73
277,4619,Seoul,5374.0,2,female,1965,5,3,non-religious,441,1,employed,53
278,4644,Seoul,5150.0,2,male,1945,7,1,non-religious,0,0,no_intention_to_work,73
279,4658,Kyeong-gi,6860.0,2,male,1968,7,1,non-religious,254,1,employed,50
280,4672,Kyeong-gi,5438.0,2,male,1959,3,1,religious,873,4,employed,59
281,4677,Kyeong-gi,28049.0,4,male,1980,5,1,non-religious,921,3,employed,38
282,4722,Seoul,6942.0,4,male,1962,7,1,religious,0,0,giving_up_economic_activities,56
283,4754,Seoul,7277.0,4,male,1965,5,1,non-religious,811,1,employed,53
284,4768,Kyeong-gi,8603.0,4,male,1964,6,1,religious,312,7,employed,54
285,4786,Seoul,946.0,1,female,1953,5,3,religious,0,0,no_intention_to_work,65
286,4826,Seoul,2640.0,2,male,1950,4,1,non-religious,0,0,no_intention_to_work,68
287,4832,Seoul,6325.0,4,male,1978,6,1,non-religious,132,1,employed,40
288,4833,Kyeong-gi,7044.0,2,male,1980,7,1,non-religious,753,6,employed,38
289,4851,Seoul,2751.0,3,female,1960,5,3,religious,0,0,giving_up_economic_activities,58
290,4869,Seoul,3411.0,2,male,1975,7,1,religious,441,1,employed,43
291,4894,Seoul,8247.0,2,male,1968,5,3,non-religious,873,10,employed,50
292,4908,Seoul,8028.0,3,male,1969,9,1,non-religious,213,10,employed,49
293,4922,Seoul,2918.0,2,male,1958,6,1,religious,863,7,employed,60
294,4936,Seoul,4212.0,2,female,1960,4,4,religious,521,3,employed,58
295,4950,Chong-nam,7480.0,3,male,1957,5,1,non-religious,521,1,employed,61
296,4955,Seoul,2696.0,1,female,1995,5,5,non-religious,314,2,employed,23
297,4969,Seoul,5224.0,4,male,1968,5,1,religious,842,1,employed,50
298,4983,Seoul,9564.0,3,male,1952,6,1,religious,141,2,employed,66
299,4994,Seoul,11795.0,4,male,1975,7,1,religious,285,7,employed,43
300,5008,Seoul,663.0,1,female,1983,7,5,non-religious,0,0,no_intention_to_work,35
301,5018,Seoul,7534.0,3,male,1979,7,1,religious,231,10,employed,39
302,5036,Seoul,5819.0,4,male,1958,4,1,non-religious,431,3,employed,60
303,5050,Seoul,2373.0,1,male,1963,6,3,non-religious,522,1,employed,55
304,5066,Seoul,2091.0,2,male,1939,4,1,non-religious,0,0,giving_up_economic_activities,79
305,5086,Seoul,1455.0,1,female,1945,3,2,religious,0,0,no_intention_to_work,73
306,5105,Seoul,1059.0,1,female,1930,2,2,religious,0,0,no_intention_to_work,88
307,5135,Seoul,9096.0,4,male,1966,7,3,religious,521,1,employed,52
308,5155,Seoul,3133.0,1,female,1949,5,2,religious,0,0,giving_up_economic_activities,69
309,5178,Seoul,838.0,1,female,1945,2,3,non-religious,0,0,no_intention_to_work,73
310,5192,Seoul,540.0,1,female,1930,7,2,religious,0,0,no_intention_to_work,88
311,5206,Seoul,807.0,1,female,1937,3,2,religious,0,0,no_intention_to_work,81
312,5230,Seoul,2890.0,1,female,1956,4,3,non-religious,441,1,employed,62
313,5231,Seoul,5037.6,1,female,1988,6,5,non-religious,722,1,employed,30
314,5248,Seoul,1548.0,2,male,1932,3,1,non-religious,0,0,no_intention_to_work,86
315,5276,Seoul,4818.0,2,female,1957,4,2,non-religious,0,0,house_worker,61
316,5281,Kyeong-gi,5543.0,2,male,1980,7,1,non-religious,284,2,employed,38
317,5295,Seoul,4424.0,3,female,1970,6,2,religious,421,3,employed,48
318,5309,Seoul,13345.0,4,male,1966,7,1,religious,313,7,employed,52
319,5331,Seoul,3248.0,3,male,1940,3,1,religious,0,0,no_intention_to_work,78
320,5345,Seoul,2579.0,1,female,1940,4,2,religious,0,0,no_intention_to_work,78
321,5367,Seoul,7654.0,3,female,1958,4,3,non-religious,442,2,employed,60
322,5381,Seoul,15475.0,2,male,1946,8,1,religious,121,4,employed,72
323,5395,Seoul,6791.0,4,male,1969,6,1,non-religious,510,3,employed,49
324,5409,Seoul,2654.0,2,male,1960,3,1,non-religious,910,1,employed,58
325,5423,Seoul,2669.0,2,male,1942,4,1,religious,942,3,employed,76
326,5437,Seoul,5416.0,2,male,1952,3,1,non-religious,521,1,employed,66
327,5447,Seoul,11389.0,4,male,1976,5,1,non-religious,135,8,employed,42
328,5461,Seoul,1835.0,2,male,1939,3,1,religious,0,0,no_intention_to_work,79
329,5477,Kyeong-gi,927.0,1,female,1932,2,2,religious,0,0,no_intention_to_work,86
330,5482,Kyeong-gi,5897.0,4,male,1986,7,1,religious,510,10,employed,32
331,5496,Kyeong-gi,1236.0,2,male,1948,4,1,non-religious,0,0,no_intention_to_work,70
332,5521,Seoul,1778.0,2,male,1945,7,1,religious,0,0,no_intention_to_work,73
